parameter,varde,kommentar
halveringstid_dagar,21,Antal dagar innan en mätnings tidsvikt halveras. Backtest mot 2018 och 2022 visar att kortare halveringstid ger sämre träffsäkerhet på alla avstånd till valdagen: 7 dagar ger effektivt 5,6 mätningar i snittet mot 10,1 vid 21 dagar, och bruset från enskilda institut väger då tyngre än den färskare informationen. Längre än 21 mätte marginellt bättre men gör prognosen trögare mot en verklig sen rörelse, vilket 2018 visar att det finns.
max_alder_dagar,365,Mätningar äldre än så här exkluderas helt.
husfaktor_fonster_dagar,540,Tidsfönster bakåt för att skatta husfaktorer per institut.
husfaktor_dampning,0.75,Andel av skattad husfaktor som faktiskt korrigeras bort. 1.0 = full korrigering.
min_matningar_husfaktor,4,Minsta antal mätningar innan husfaktor skattas för ett institut.
nationellt_fel_sd,0.005,Korrelerat blockfel per parti. Kalibrerat mot valet 2022 där blockfelet var cirka 1.5 procentenheter.
partifel_sd,0.0113,Partispecifikt oberoende fel. Kalibrerat mot observerat medelabsolutfel 0.64 pe nära valdagen.
trend_drift_sd_per_manad,0.0130,Extra osäkerhet per kvadratrot-månad kvar till valdagen. Kalibrerat så att 80-procentsintervallen täcker utfallet 2022 i 82 procent av fallen. Bygger på ett enda val och bör ses över när fler valcykler finns i underlaget.
antal_simuleringar,40000,Antal Monte Carlo-dragningar.
anvand_valdagskorrigering,0,Sätt till 1 för att aktivera den historiska valdagskorrigeringen i data/valdagskorrigering.csv. Avstängd som standard eftersom den bygger på ett enda val och riskerar att befästa 2022-cykelns särdrag.
psu_vikt,0.25,Hur mycket SCB:s regionala partisympati väger mot den historiska profilen i region- och kommunprognosen. Kalibrerat mot regionvalet 2022 där 0.25 gav lägsta felet. Ren PSU är sämre eftersom landsdelarna är för grova.
psu_vikt_kommun,0.0,Vikt för SCB:s regionala partisympati i kommunprognosen. Avstängd eftersom landsdelarna är för grova för en enskild kommun. Ett backtest mot kommunvalet 2022 visar att vikten 0.25 försämrar felet från 2.40 till 2.50 procentenheter.
lokal_matning_halveringstid,120,Halveringstid i dagar för lokala mätningars vikt. Betydligt längre än riksmätningarnas eftersom en lokal mätning mäter just det område den gäller medan alternativet bara är en extrapolering från rikstrenden. En tre månader gammal lokal mätning är fortfarande bättre underlag än ingen alls.
lokal_matning_maxvikt,0.9,Högsta vikt en lokal mätning kan få mot modellens egen skattning. Under 1.0 eftersom även en färsk mätning har urvalsosäkerhet och modellens skattning bär information om rikstrenden sedan mätningen gjordes.
